Canal,Name,URL name,Logo Name,group
1,TF1,tf1,tf1,TNT en Direct
2,France 2,france2,france-2,TNT en Direct
3,France 3,france3,france-3,TNT en Direct
5,France 5,france5,france-5,TNT en Direct
6,M6,m6,m6,TNT en Direct
7,Arte,arte,arte,TNT en Direct
8,C8,d8,d8,TNT en Direct
9,W9,w9,w9,TNT en Direct
10,TMC,tmc,tmc,TNT en Direct
11,TFX,nt1,tfx,TNT en Direct
12,NRJ 12,nrj12,Nrj-12,TNT en Direct
17,CStar,d17,cstar,TNT en Direct
20,TF1 Séries Films,hd1,tf1-series-films,TNT en Direct
21,La chaîne L'Équipe,lequipe21,equipe-21,TNT en Direct
22,6ter,6ter,6ter,TNT en Direct
25,Chérie 25,cherie25,Cherie-25,TNT en Direct
